,index,DiagnosisDescription,PercentageDiab,PatientsWithCondition,PercentageOfTotalPop
0,002.0,Typhoid fever,1.0,1.0,0.000100522718134
1,003.0,Salmonella gastroenteritis,0.5,2.0,0.000201045436269
2,003.23,Salmonella arthritis,0.0,1.0,0.000100522718134
3,005.9,"Food poisoning, unspecified",0.0,4.0,0.000402090872537
4,007.1,Giardiasis,0.0,4.0,0.000402090872537
5,007.8,Other specified protozoal intestinal diseases,0.0,1.0,0.000100522718134
6,008.43,Intestinal infection due to campylobacter,0.0,1.0,0.000100522718134
7,008.45,Intestinal infection due to clostridium difficile,0.272727272727,11.0,0.00110574989948
8,008.5,"Bacterial enteritis, unspecified",0.166666666667,6.0,0.000603136308806
9,008.69,Other viral enteritis,0.428571428571,14.0,0.00140731805388
10,008.8,"Intestinal infection due to other organism, not elsewhere classified",0.259259259259,54.0,0.00542822677925
11,009.0,"Infectious colitis, enteritis, and gastroenteritis",0.355555555556,45.0,0.00452352231604
12,009.1,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",0.170212765957,47.0,0.00472456775231
13,009.2,Infectious diarrhea,0.285714285714,14.0,0.00140731805388
14,009.3,Diarrhea of presumed infectious origin,0.285714285714,35.0,0.0035182951347
15,010.80,"Other primary progressive tuberculosis, unspecified examination",0.0,1.0,0.000100522718134
16,011.90,"Unspecified pulmonary tuberculosis, unspecified examination",0.0,1.0,0.000100522718134
17,012.0,Pleurisy                                                                                                                                                                                                                                                       ,0.176470588235,17.0,0.00170888620828
18,027.2,Pasteurellosis,0.5,2.0,0.000201045436269
19,031.0,Pulmonary diseases due to other mycobacteria,0.0,2.0,0.000201045436269
20,033.9,"Whooping cough, unspecified organism",0.0,2.0,0.000201045436269
21,034,Streptococcal sore throat and scarlet fever                                                                                                                                                                                                                    ,0.0,1.0,0.000100522718134
22,034.0,Streptococcal sore throat,0.15,120.0,0.0120627261761
23,035,Erysipelas,0.0,1.0,0.000100522718134
24,038.11,Methicillin susceptible Staphylococcus aureus septicemia,1.0,1.0,0.000100522718134
25,038.2,Pneumococcal septicemia [Streptococcus pneumoniae septicemia],0.0,1.0,0.000100522718134
26,038.42,Septicemia due to escherichia coli [E. coli],0.5,2.0,0.000201045436269
27,038.9,Unspecified septicemia,0.0,1.0,0.000100522718134
28,039.0,Cutaneous actinomycotic infection,0.5,2.0,0.000201045436269
29,039.2,Abdominal actinomycotic infection,1.0,1.0,0.000100522718134
30,040.0,Gas gangrene,1.0,1.0,0.000100522718134
31,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,0.0,2.0,0.000201045436269
32,041.02,Group B Streptococcus infection in conditions classified elsewhere and of unspecified site,0.0,4.0,0.000402090872537
33,041.1,Staphylococcus infection in other conditions and of unspecified site                                                                                                                                                                                           ,1.0,1.0,0.000100522718134
34,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0.0,4.0,0.000402090872537
35,041.11,Methicillin susceptible Staphylococcus aureus infection in conditions classified elsewhere and of unspecified site,1.0,1.0,0.000100522718134
36,041.12,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,0.2,15.0,0.00150784077201
37,041.19,Other Staphylococcus infection in conditions classified elsewhere and of unspecified site,1.0,1.0,0.000100522718134
38,041.86,Helicobacter pylori [H. pylori] infection in conditions classified elsewhere and of unspecified site,0.102564102564,39.0,0.00392038600724
39,041.9,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",0.0,3.0,0.000301568154403
40,042,HIV disease,0.16,50.0,0.00502613590671
41,042.,Human immunodeficiency virus (HIV) disease,0.181818181818,11.0,0.00110574989948
42,042.00,Human immunodeficiency virus infection with specified conditns,0.0,2.0,0.000201045436269
43,043.20,HIV infection causing othr disorders involving immune mechanism,0.0,2.0,0.000201045436269
44,047.9,Unspecified viral meningitis,0.0,1.0,0.000100522718134
45,051.2,Contagious pustular dermatitis,0.0,7.0,0.00070365902694
